rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,freight_scheduled_passenger_aircraft_foreign_EU,freight_scheduled_cargo_aircraft_foreign_EU,freight_charter_passenger_aircraft_foreign_EU,freight_charter_cargo_aircraft_foreign_EU,freight_scheduled_passenger_aircraft_foreign_non_EU,freight_scheduled_cargo_aircraft_foreign_non_EU,freight_charter_passenger_aircraft_foreign_non_EU,freight_charter_cargo_aircraft_foreign_non_EU,freight_schedueld_passenger_aircraft_UK,freight_scheduled_cargo_aircraft_UK,freight_charter_passenger_aircraft_UK,freight_charter_cargo_aircraft_UK
23/10/2023 17:33:57,2022,London Area Airports,  GATWICK,353.965000,129.202000,95.183000,0.000000,33643.199000,150.453000,2033.360000,0.000000,1.416000,0.000000,0.277000,0.000000
23/10/2023 17:33:57,2022,London Area Airports,  HEATHROW,39494.858000,26247.310000,4.859000,34612.774000,1063859.265000,138425.094000,375.482000,47757.216000,58.113000,60.326000,0.000000,0.000000
23/10/2023 17:33:57,2022,London Area Airports,  LONDON CITY,1.637000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.238000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,London Area Airports,  LUTON,3.447000,18038.449000,6.441000,8551.811000,3.728000,3996.352000,0.000000,448.519000,0.000000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,London Area Airports,  SOUTHEND,0.000000,3552.061000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,London Area Airports,  STANSTED,0.000000,74288.193000,0.552000,807.634000,2970.937000,162627.875000,19.247000,2087.607000,0.098000,327.886000,0.000000,23.380000
23/10/2023 17:33:57,2022,Other UK Airports,  ABERDEEN,22.286000,0.000000,0.623000,0.000000,169.350000,0.069000,1259.986000,0.000000,64.129000,0.008000,67.343000,48.029000
23/10/2023 17:33:57,2022,Other UK Airports,  BARRA,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.520000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,Other UK Airports,  BELFAST CITY (GEORGE BEST),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.917000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,Other UK Airports,  BELFAST INTERNATIONAL,0.181000,1087.267000,0.308000,0.000000,0.000000,40.000000,0.000000,0.000000,0.419000,22377.899000,0.000000,19.465000
23/10/2023 17:33:57,2022,Other UK Airports,  BENBECULA,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.126000,0.000000,0.214000,4.709000
23/10/2023 17:33:57,2022,Other UK Airports,  BIRMINGHAM,57.156000,5905.857000,22.284000,857.881000,7675.798000,76.971000,645.777000,3260.948000,0.501000,580.083000,0.000000,19.720000
23/10/2023 17:33:57,2022,Other UK Airports,  BOURNEMOUTH,0.000000,0.000000,0.000000,604.688000,41.781000,0.000000,0.000000,3672.353000,0.000000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,Other UK Airports,  BRISTOL,0.702000,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,Other UK Airports,  CARDIFF WALES,0.000000,0.000000,0.003000,0.000000,0.000000,0.000000,0.003000,95.791000,0.000000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,Other UK Airports,  DONCASTER SHEFFIELD,0.120000,211.513000,0.991000,227.728000,22.000000,7086.654000,145.851000,4484.124000,0.000000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,Other UK Airports,  EAST MIDLANDS INTERNATIONAL,8.839000,201201.753000,0.000000,27332.448000,0.000000,99723.923000,0.000000,13950.776000,0.000000,36930.568000,0.000000,357.360000
23/10/2023 17:33:57,2022,Other UK Airports,  EDINBURGH,104.003000,1854.608000,2.705000,1.273000,4640.150000,0.000000,0.000000,0.000000,21.764000,12206.417000,0.212000,87.161000
23/10/2023 17:33:57,2022,Other UK Airports,  GLASGOW,29.018000,0.000000,3.359000,0.000000,6369.239000,0.000000,24.699000,0.000000,192.043000,0.047000,0.000000,0.000000
23/10/2023 17:33:57,2022,Other UK Airports,  HUMBERSIDE,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,63.202000,11.213000,0.013000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,Other UK Airports,  ISLAY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,222.459000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,Other UK Airports,  ISLES OF SCILLY (ST.MARYS),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.200000,55.100000,0.000000,0.000000
23/10/2023 17:33:57,2022,Other UK Airports,  KIRKWALL,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.489000,0.066000,0.000000,3.500000
23/10/2023 17:33:57,2022,Other UK Airports,  LANDS END (ST JUST),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.700000,55.300000,0.000000,0.000000
23/10/2023 17:33:57,2022,Other UK Airports,  LIVERPOOL (JOHN LENNON),0.217000,1.889000,0.000000,213.297000,0.067000,0.000000,0.000000,1454.202000,6.500000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,Other UK Airports,  MANCHESTER,1100.716000,978.716000,112.233000,37.839000,61825.157000,59.596000,1269.533000,12.813000,6.235000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,Other UK Airports,  NEWCASTLE,2.872000,0.000000,0.000000,1088.933000,1351.578000,0.000000,0.000000,0.000000,0.222000,0.000000,0.000000,5.467000
23/10/2023 17:33:57,2022,Other UK Airports,  NORWICH,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,112.240000,0.000000,0.000000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,Other UK Airports,  PRESTWICK,0.314000,4206.272000,0.256000,85.387000,0.000000,8015.691000,0.000000,2467.267000,0.000000,361.775000,0.171000,160.710000
23/10/2023 17:33:57,2022,Other UK Airports,  SOUTHAMPTON,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.714000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,Other UK Airports,  STORNOWAY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,129.205000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,Other UK Airports,  SUMBURGH,0.000000,0.000000,0.000000,0.000000,0.004000,0.000000,81.182000,0.049000,96.773000,0.000000,21.389000,0.012000
23/10/2023 17:33:57,2022,Other UK Airports,  TIREE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.986000,0.000000,0.000000,0.000000
23/10/2023 17:33:57,2022,Non UK Reporting Airports,  ALDERNEY,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.892000,0.353000,0.000000,0.000000
23/10/2023 17:33:57,2022,Non UK Reporting Airports,  GUERNSEY,0.099000,0.023000,0.000000,0.125000,0.000000,0.000000,0.000000,0.000000,43.463000,0.413000,0.006000,678.835000
23/10/2023 17:33:57,2022,Non UK Reporting Airports,  ISLE OF MAN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.005000,0.000000,0.000000,38.678000
23/10/2023 17:33:57,2022,Non UK Reporting Airports,  JERSEY,0.000000,0.000000,0.151000,0.000000,0.000000,0.000000,0.000000,0.000000,38.404000,956.706000,0.150000,5.652000

