rundate,span,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
14/03/2025 11:02,2014 - 2024,1,1,London Area Airports,GATWICK,259962,267760,280666,285912,283919,284987,80161,55817,217622,256893,265358,3.295146228
14/03/2025 11:02,2014 - 2024,1,1,London Area Airports,HEATHROW,472802,474087,474963,475783,477604,478059,204730,195336,380305,456600,476119,4.274857643
14/03/2025 11:02,2014 - 2024,1,1,London Area Airports,LONDON CITY,76260,84753,85169,80490,80854,84260,19069,14463,46514,52101,50956,-2.197654556
14/03/2025 11:02,2014 - 2024,1,1,London Area Airports,LUTON,101950,114083,128519,133743,136511,141858,59769,61703,118063,128430,131962,2.750136261
14/03/2025 11:02,2014 - 2024,1,1,London Area Airports,SOUTHEND,30514,23538,23449,26674,32531,36327,18401,34114,26624,31546,27134,-13.985925315
14/03/2025 11:02,2014 - 2024,1,1,London Area Airports,STANSTED,157117,168629,180430,189919,201614,199925,86107,93316,176914,195438,201031,2.861777136
14/03/2025 11:02,2014 - 2024,1,2,London Heliports,EDMISTON LONDON HELIPORT,8925,10352,11347,11899,10989,10200,3808,5779,9012,8602,8781,2.080911416
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,ABERDEEN,124282,112357,96156,97007,91279,91248,59250,62986,74098,73442,72100,-1.827292285
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,BARRA,988,1034,1347,1412,1439,1389,924,1147,1274,1250,1264,1.120000000
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),37112,41782,42475,36332,35959,35382,10359,12819,25368,29282,30302,3.483368622
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,BELFAST INTERNATIONAL,50973,52246,55155,58152,60541,59259,32983,33964,49942,57761,60480,4.707328474
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,BENBECULA,3504,3517,3648,3420,3650,3484,2367,2931,2772,2525,2534,0.356435644
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,BIGGIN HILL,45477,50481,52970,50000,43343,39390,29856,38034,46633,40744,39535,-2.967308070
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,BIRMINGHAM,97346,98015,113184,122067,111828,109357,35647,35411,78707,86584,94130,8.715236071
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,BLACKPOOL,32776,33075,33749,33429,37526,36289,25404,39587,37259,38918,38735,-0.470219436
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,BOURNEMOUTH,43122,43020,36922,34641,39886,38540,28370,38304,29186,20650,21000,1.694915254
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,BRISTOL,64230,68074,73536,76199,72927,69434,29191,32278,65909,77260,78595,1.727931659
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,CAMBRIDGE,20036,19215,20226,20749,19280,16732,10888,17371,18033,16466,18291,11.083444674
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,CAMPBELTOWN,1628,1520,1452,1410,1887,1823,1032,1094,1340,1433,1246,-13.049546406
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,CARDIFF WALES,25864,25077,26256,28934,31085,31881,10111,11236,18793,15806,15455,-2.220675693
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,CARLISLE,16427,18427,19826,17439,4330,14421,1501,0,0,0,0,
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),5764,5005,5441,5156,6330,7096,3522,4552,7122,7110,7231,1.701828411
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,COVENTRY,42928,39285,35932,26357,30357,31708,22477,25378,30760,27046,21866,-19.152554906
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,DONCASTER SHEFFIELD,11697,11998,16098,17435,18930,23043,12232,14077,15847,0,0,
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,DUNDEE,35730,38680,36730,38096,39965,43354,19011,23956,13522,6019,4112,-31.683003821
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,76726,77053,73689,77067,76013,74566,48265,52327,64678,66212,63648,-3.872409835
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,EDINBURGH,109545,115286,122220,128675,130016,131617,45966,43674,98065,115076,120406,4.631721645
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,EXETER,32852,33210,40665,40472,39532,44306,22997,28775,30874,27082,23296,-13.979765158
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,FARNBOROUGH,0,0,0,0,0,0,0,0,0,32622,31128,-4.579731470
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,GLASGOW,84000,90790,98127,102766,97157,91812,34715,39713,70391,74563,76916,3.155720666
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,GLOUCESTERSHIRE,73687,74474,83329,81451,78022,74523,53336,65009,60020,68100,64850,-4.772393539
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,HAWARDEN,13533,14882,18433,18208,17153,18103,9479,20816,27201,22616,25090,10.939158118
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,HUMBERSIDE,27647,25665,22744,18282,18759,18228,10347,11973,13103,16678,18280,9.605468282
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,INVERNESS,28495,29873,30450,31002,29690,31338,19610,25267,23820,23842,20694,-13.203590303
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,ISLAY,2610,2515,2540,2637,2751,3199,1833,2364,2450,2358,2198,-6.785411366
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),10965,12210,13164,11357,12546,12329,6200,8935,10381,8849,9082,2.633065883
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,KIRKWALL,14420,14199,14539,14754,14771,14247,9498,11114,11758,11443,11355,-0.769029101
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,LANDS END (ST JUST),7088,10425,11189,10062,11511,11177,6297,7539,9169,7475,7500,0.334448161
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,LEEDS BRADFORD,42989,42912,44304,46159,38680,35641,12312,14566,33912,36413,37093,1.867464916
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,LERWICK (TINGWALL),2169,2801,2426,1795,1547,1461,1054,1175,1315,1243,1190,-4.263877715
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),52249,55905,62441,56643,59320,58968,28468,29327,47526,49436,51715,4.610000809
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,LYDD,19808,20095,22060,19853,22671,26676,19431,21700,29268,25908,26061,0.590551181
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,MANCHESTER,170639,173165,192293,203689,201247,202892,66760,66310,158575,180246,196473,9.002696315
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,MANSTON (KENT INT),6494,0,0,0,0,0,0,0,0,0,0,
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,NEWCASTLE,59114,55950,56263,57808,53740,50688,18449,21421,41187,45229,46836,3.553030136
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,NEWQUAY,9261,22848,30417,37113,41172,46338,34398,32062,24625,19384,18134,-6.448617416
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,NORWICH,37391,36045,37190,37307,34287,35187,24542,30064,31434,28662,30227,5.460191194
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,OXFORD (KIDLINGTON),42456,44020,40507,36902,38529,47026,45364,65265,72978,57356,63442,10.610921264
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,PRESTWICK,25643,22765,25714,24897,24904,24463,14085,17126,19034,24471,22615,-7.584487761
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,SCATSTA,13778,12221,7894,8224,8513,4989,1595,0,0,0,0,
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,SHOREHAM,54344,48731,51394,47203,39224,46223,33181,46479,50593,42760,36871,-13.772217025
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,SOUTHAMPTON,40374,39379,42824,44161,39651,36473,10931,11910,20562,21998,21369,-2.859350850
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,STORNOWAY,10909,10952,10600,10924,10570,9444,5662,6809,7384,7366,7623,3.489003530
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,SUMBURGH,18171,17171,21129,22347,16628,18056,10839,16699,17715,17426,17116,-1.778950993
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,SWANSEA,14100,8983,11230,9255,9016,5779,0,0,0,0,0,
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,17940,18702,21162,19668,16950,16746,12731,18013,20319,21125,18971,-10.196449704
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,TIREE,1295,1478,1937,1903,1855,1800,1170,1480,1578,1662,1666,0.240673887
14/03/2025 11:02,2014 - 2024,1,3,Other UK Airports,WICK JOHN O GROATS,5711,4726,4427,3827,4058,4064,3022,2838,2998,2963,2491,-15.929800877
14/03/2025 11:02,2014 - 2024,2,4,Non UK Reporting Airports,ALDERNEY,10754,10149,10120,9707,8981,8326,3810,5456,7629,7237,7102,-1.865413846
14/03/2025 11:02,2014 - 2024,2,4,Non UK Reporting Airports,GUERNSEY,43189,39955,39717,38209,36356,36397,14556,18253,28854,27872,29171,4.660591274
14/03/2025 11:02,2014 - 2024,2,4,Non UK Reporting Airports,ISLE OF MAN,27645,29370,28331,23061,23431,21155,8480,9594,15208,15741,15511,-1.461152405
14/03/2025 11:02,2014 - 2024,2,4,Non UK Reporting Airports,JERSEY,49912,46822,47170,46615,42436,41296,16174,22861,32185,30869,29540,-4.305290097

